Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
Targeting of Australian government agencies and private companies,6/19/2020,Government of China,Hackers believed by Australian officials to be operating on behalf of China targeted Australian government agencies and companies through a known exploit in Microsoft Sharepoint.,Denouncement   https://www.9news.com.au/national/cyber-attack-australia-scott-morrison-government-private-sector-breach-of-security/e621ae47-f810-4fa7-9c11-3caa3b09f4dc,Australian government agencies and private companies,China,Espionage,"Government, Private sector, Civil society",https://www.cyberscoop.com/australia-cyber-attack-china-trade-scott-morrison/,https://www.cyber.gov.au/acsc/view-all-content/advisories/advisory-2020-008-copy-paste-compromises-tactics-techniques-and-procedures-used-target-multiple-australian-networks,https://www.9news.com.au/national/cyber-attack-australia-scott-morrison-government-private-sector-breach-of-security/e621ae47-f810-4fa7-9c11-3caa3b09f4dc
Infection of computer systems belonging to universities in Hong Kong,1/31/2020,Winnti Umbrella,"The Winnti Umbrella, a Chinese government-backed threat actor, installed malware on computer systems at two universities in Hong Kong during protests. Three other universities in Hong Kong could have been simultaneously targeted.",,Universities in Hong Kong,China,Espionage,Civil society,https://www.welivesecurity.com/2020/01/31/winnti-group-targeting-universities-hong-kong/,https://www.bleepingcomputer.com/news/security/winnti-group-infected-hong-kong-universities-with-malware/,
Attack on Israeli water utilities,5/7/2020,Iranian government,"Iranian hackers sought to cripple computers that control water flow and wastewater treatment for two rural districts in Israel. Israeli officials reported that the attack was quickly detected and defeated, preventing harm to water supplies.",Hack Back   https://www.timesofisrael.com/cyberattack-on-port-suggests-israeli-tit-for-tat-strategy-shows-iran-vulnerable/,Israeli water utilities,Iran (Islamic Republic of),Sabotage,Private sector,https://www.washingtonpost.com/national-security/intelligence-officials-say-attempted-cyberattack-on-israeli-water-utilities-linked-to-iran/2020/05/08/f9ab0d78-9157-11ea-9e23-6914ee410a5f_story.html,https://www.jpost.com/israel-news/security-cabinet-israel-didnt-expect-iranian-cyberattack-on-water-system-627497,https://www.jpost.com/israel-news/iran-responsible-for-cyberattack-on-israeli-water-facilities-report-627236
Targeting of entities focusing on Taiwan,8/8/2020,Believed to be the work of the Chinese government. ,"Hackers targeted various entities involved in Taiwan-related issues with spear-phishing emails containing Taidoor, a remote-access trojan (RAT) designed to maintain a presence on victim networks for use in later network exploitation.",,"Government agencies, Private sector companies, Think tanks",China,Espionage,"Government, Private sector, Civil society",https://us-cert.cisa.gov/ncas/current-activity/2020/08/03/chinese-malicious-cyber-activity,https://www.cyberscoop.com/taidoor-malware-report-china-cisa-dod-fbi/,
"Global phishing campaign against industrial, government, and civil society targets",3/20/2020,APT 28,"The Russian threat actor APT 28 used phishing campaigns to steal credentials from organizations across the world, in government, private sector, and civil society. They also searched the internet for vulnerable webmail servers.",,"Targets across sectors and throughout the world, but especially defense sector and the United Arab Emirates.",Russian Federation,Espionage,"Private sector, Government, Civil society, Military",https://www.zdnet.com/article/apt28-has-been-scanning-and-exploiting-vulnerable-email-servers-for-more-than-a-year/,https://documents.trendmicro.com/assets/white_papers/wp-pawn-storm-in-2019.pdf,
"Targeting of U.S. political campaigns, advocacy groups, and political consultancies",9/10/2020,APT 28,"Russian hackers attempted to steal log-in credentials primarily belonging to more than two hundred political campaigns, advocacy groups, parties, and consultants.",,Organizations and individuals associated with U.S. politics,Russian Federation,Espionage,"Government, Civil society",https://blogs.microsoft.com/on-the-issues/2020/09/10/cyberattacks-us-elections-trump-biden/,,
Continued targeting of cryptocurrency businesses,1/8/2020,Lazarus Group,The North Korean hackers renewed attacks against unnamed cryptocurrency businesses to steal cryptocurrency for financial gain.,,Cryptocurrency exchanges,Korea (Democratic People's Republic of),Financial Theft,Private sector,https://securelist.com/operation-applejeus-sequel/95596/,,
Targeting of Ukrainian government organizations,6/11/2020,Gamaredon,Hackers sent spear-phishing emails to the accounts of officials in various Ukrainian government organizations. The emails contained attachments that downloaded malware when opened.,,Ukrainian government officials,Russian Federation,Espionage,Government,https://www.welivesecurity.com/2020/06/11/gamaredon-group-grows-its-game/,,
Impersonation of journalists to compromise public figures,1/30/2020,Charming Kitten,The Iranian state-backed threat actor Charming Kitten impersonated prominent journalists and sent targets fake interview requests in order to steal their credentials and send them malware.,,"Academics, researchers, and dissidents in the United States, Israel, Saudi Arabia, Europe, the UK, and possibly elsewhere.",Iran (Islamic Republic of),Espionage,"Civil society, Government",https://blog.certfa.com/posts/fake-interview-the-new-activity-of-charming-kitten/,https://www.reuters.com/article/us-iran-hackers-exclusive/exclusive-iran-linked-hackers-pose-as-journalists-in-email-scam-idUSKBN1ZZ1MS,
Pirate Panda,4/30/2020,,Pirate Panda is believed to be responsible for phishing attacks targeting Vietnamese government officials located near the disputed Paracel Islands in the South China Sea.,,Vietnamese government officials,China,,,https://www.cyberscoop.com/south-china-sea-maritime-hacking-vietnam/,https://www.anomali.com/blog/anomali-suspects-that-china-backed-apt-pirate-panda-may-be-seeking-access-to-vietnam-government-data-center,
Targeting of United Kingdom trade minister’s email account,8/3/2020,Believed to be the work of the Russian government. ,"Hackers accessed the account of former United Kingdom (UK) Trade Minister Liam Fox, between July 12 and October 21 2019, stealing six tranches of documents detailing British trade negotiations with the United States. Hackers then released the documents as part of a Russian disinformation campaign targeting the 2019 UK general election.",,UK Trade Minister,Russian Federation,Espionage,Government,https://www.reuters.com/article/us-britain-russia-hack-exclusive/exclusive-papers-leaked-before-uk-election-in-suspected-russian-operation-were-hacked-from-ex-trade-minister-sources-idUSKCN24Z1V4,,
Targeting of the World Health Organization,3/23/2020,DarkHotel,"DarkHotel, an advanced actor possibly associated with the South Korean government, attempted to phish World Health Organization employees.",,World Health Organization,Korea (Republic of),Espionage,Civil society,https://www.reuters.com/article/us-health-coronavirus-who-hack-exclusive/exclusive-elite-hackers-target-who-as-coronavirus-cyberattacks-spike-idUSKBN21A3BN,,
Targeting of South Asia telecommunication providers,5/19/2020,Greenbug,The Greenbug group used off-the-shelf tools and living-off-the-land techniques to gain access to South Asian telecommunication providers’ database servers.,,Telecommunication providers in South Asia,Iran (Islamic Republic of),Espionage,Private sector,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/greenbug-espionage-telco-south-asia,https://www.cyberscoop.com/greenbug-symantec-iran-hacking-pakistan/,
Zirconium,9/10/2020,Also known as APT 31 and Judgement Panda.,Responsible for targeting email accounts belonging to former Vice President Joe Biden’s campaign staff and for attempting to discern whether accounts belonging to members of the international affairs community are active.,,Individuals associated with the U.S. election,China,Espionage,"Government, Civil society",https://blogs.microsoft.com/on-the-issues/2020/09/10/cyberattacks-us-elections-trump-biden/,https://malpedia.caad.fkie.fraunhofer.de/actor/apt31,
Targeting of Hong Kong citizens with mobile malware,3/24/2020,Lotus Blossom,The Chinese threat actor Lotus Blossom used watering holes on fake news sites to deploy iOS exploits against Hong Kong citizens.,,Hong Kong citizens with iPhones,China,Espionage,"Civil society, Private sector",https://securelist.com/ios-exploit-chain-deploys-lightspy-malware/96407/,https://blog.trendmicro.com/trendlabs-security-intelligence/operation-poisoned-news-hong-kong-users-targeted-with-mobile-malware-via-local-news-links/,
Targeting of Malaysian government officials,2/7/2020,APT 40,"APT 40, a threat actor believed to be associated with the Chinese government, allegedly targeted Malaysian government officials with highly targeted spear-phishing attacks in order to install malware and steal confidential documents from government networks.",Confirmation   https://www.zdnet.com/article/malaysia-warns-of-chinese-hacking-campaign-targeting-government-projects/,Malaysian government officials,China,Espionage,Government,https://www.mycert.org.my/portal/advisory?id=MA-770.022020,https://www.zdnet.com/article/malaysia-warns-of-chinese-hacking-campaign-targeting-government-projects/,
Phishing of Vietnamese government officials,4/30/2020,Pirate Panda,"The Chinese-linked threat actor Pirate Panda sent phishing emails to Vietnamese government officials located in Da Nang, Vietnam.",,Vietnamese government officials,China,Espionage,Government,https://www.anomali.com/blog/anomali-suspects-that-china-backed-apt-pirate-panda-may-be-seeking-access-to-vietnam-government-data-center,https://www.cyberscoop.com/south-china-sea-maritime-hacking-vietnam/,
Targeting of opposition politicians and religious leaders in Togo,9/3/2020,Believed to be the work of Togolese security forces. ,"Hackers used spyware, developed by Israeli technology firm NSO Group, that exploited a vulnerability in the messaging app WhatsApp to inject spyware onto the phones of opposition politicians and prominent religious leaders in Togo. The hack coincided with pro-reform protests in the country.",,"Togolese opposition politicians, Togolese religious leaders",Togo,Espionage,Civil society,https://www.vice.com/en/article/7kpdpe/nso-spyware-was-used-to-hack-clergy-in-togo,https://citizenlab.ca/2020/08/nothing-sacred-nso-sypware-in-togo/,
Targeting of over seventy-five organizations,3/25/2020,APT 41,The Chinese threat actor APT 41 attempted to exploit three vulnerabilities at over seventy-five organizations across sectors and countries. This was one of the most widespread attacks by a Chinese threat actor in years.,,Multiple entities across the world.,China,Espionage,"Government, Private sector, Civil society",https://www.fireeye.com/blog/threat-research/2020/03/apt41-initiates-global-intrusion-campaign-using-multiple-exploits.html,https://www.cyberscoop.com/apt-41-citrix-cisco-zoho-china-cyber-espionage-fireeye/,
Targeting of Asian videogame companies,5/21/2020,Winnti Umbrella,Hackers leveraged a backdoor to compromise Taiwanese and South Korean video game companies’ systems.,,"Video game companies in Asia, including Taiwan and South Korea",China,Espionage,Private sector,https://www.infosecurity-magazine.com/news/winnti-video-game-developers/,https://www.welivesecurity.com/2020/05/21/no-game-over-winnti-group/,
Targeting of former Vice President Joe Biden’s campaign staff and U.S. international affairs community,9/10/2020,Zirconium,Responsible for targeting non-campaign email accounts belonging to former Vice President Biden’s election campaign staff. Also responsible for using web bugs to determine whether accounts belonging to academics and important figures in the international affairs community are active.,,Individuals associated with the U.S. election,China,Espionage,"Government, Civil society",https://blogs.microsoft.com/on-the-issues/2020/09/10/cyberattacks-us-elections-trump-biden/,,
